ID;Hablante;Texto;ID_Siguiente;Opcion_1;Destino_1;Mod_1;Opcion_2;Destino_2;Mod_2;Opcion_3;Destino_3;Mod_3;Opcion_4;Destino_4;Mod_4
28;NPC;Antes sentía que me contabas todo. Ahora muchas veces me entero de las cosas de casualidad.;-1;Tenés razón, debería compartir más.;29;15,15,-15;Hay cosas que todavía no sé cómo contar.;30;0,-5,15;No creo que tenga que contarte todo.;31;-10,-20,15;;;
29;JUGADOR;Tenés razón, debería compartir más.;32;;;;;;;;;;;;
30;JUGADOR;Hay cosas que todavía no sé cómo contar.;33;;;;;;;;;;;;
31;JUGADOR;No creo que tenga que contarte todo.;34;;;;;;;;;;;;
32;NPC;No necesito saber todo. Solo me gusta sentir que sigo siendo parte de tu vida.;35;;;;;;;;;;;;
33;NPC;Eso lo entiendo. Supongo que a veces me gana la ansiedad.;35;;;;;;;;;;;;
34;NPC;Quizás tenés razón. Me cuesta aceptar que ya no sos una nena.;35;;;;;;;;;;;;
35;NPC;A veces me pregunto si hice algo para que te alejaras.;-1;No hiciste nada malo.;36;15,10,-10;No es algo que tenga una sola causa.;37;0,-5,15;No quiero hablar de eso.;38;-10,-15,10;;;
36;JUGADOR;No hiciste nada malo.;39;;;;;;;;;;;;
37;JUGADOR;No es algo que tenga una sola causa.;40;;;;;;;;;;;;
38;JUGADOR;No quiero hablar de eso.;41;;;;;;;;;;;;
39;NPC;Me alivia escucharlo.;42;;;;;;;;;;;;
40;NPC;Supongo que las relaciones cambian aunque uno no quiera.;42;;;;;;;;;;;;
41;NPC;Está bien. No voy a insistir.;42;;;;;;;;;;;;
42;NPC;¿Sabés qué es lo que más extraño? Las charlas sin apuro.;-1;Podemos intentar recuperarlas.;43;15,15,-15;Podemos encontrar otra forma de hablar.;44;0,-5,15;La verdad no extraño eso.;45;-10,-20,10;;;
43;JUGADOR;Podemos intentar recuperarlas.;46;;;;;;;;;;;;
44;JUGADOR;Podemos encontrar otra forma de hablar.;47;;;;;;;;;;;;
45;JUGADOR;La verdad no extraño eso.;48;;;;;;;;;;;;
46;NPC;Me gustaría mucho.;49;;;;;;;;;;;;
47;NPC;Sí. Quizás estamos buscando algo distinto ahora.;49;;;;;;;;;;;;
48;NPC;Duele escucharlo, pero agradezco que seas sincera.;49;;;;;;;;;;;;
49;NPC;A veces me preocupa que cargues con demasiadas cosas sola.;-1;Puedo manejarlo.;50;15,10,-15;Estoy intentando aprender a pedir ayuda.;51;0,-5,20;Prefiero resolver mis problemas sola.;52;-10,-15,10;;;
50;JUGADOR;Puedo manejarlo.;53;;;;;;;;;;;;
51;JUGADOR;Estoy intentando aprender a pedir ayuda.;54;;;;;;;;;;;;
52;JUGADOR;Prefiero resolver mis problemas sola.;55;;;;;;;;;;;;
53;NPC;Eso decís siempre. Y por eso me preocupo.;56;;;;;;;;;;;;
54;NPC;Me alegra escucharte decir eso.;56;;;;;;;;;;;;
55;NPC;Entiendo. Aunque me cuesta quedarme al margen.;56;;;;;;;;;;;;
56;NPC;Solo quiero que sepas que te quiero, incluso cuando discutimos.;-1;Yo también te quiero.;57;10,15,-10;Lo sé. Gracias.;58;0,-5,15;No sé qué decir.;59;-5,-10,5;;;
57;JUGADOR;Yo también te quiero.;60;;;;;;;;;;;;
58;JUGADOR;Lo sé. Gracias.;60;;;;;;;;;;;;
59;JUGADOR;No sé qué decir.;60;;;;;;;;;;;;
60;NPC;No hace falta decir nada más. Gracias por escucharme hoy.;-1;;;;;;;;;;;;
